City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
316,Sinnar,13.5691,33.5672,92.05,overcast clouds,25,98,0.92,SD
317,Coahuayana,18.7333,-103.6833,85.01,few clouds,60,20,2.08,MX
318,Bucerias,20.75,-105.3333,82.98,clear sky,69,0,3.44,MX
319,Bogalusa,30.791,-89.8487,74.75,clear sky,53,0,3.44,US
320,Amga,60.8953,131.9608,11.19,overcast clouds,98,96,2.62,RU
321,Mount Isa,-20.7333,139.5,76.77,light rain,50,65,20.71,AU
322,Rodbyhavn,54.6544,11.352,55.11,broken clouds,84,59,2.95,DK
323,Chapais,49.7834,-74.8492,44.38,overcast clouds,73,100,3.98,CA
324,Tatahuicapan,18.2333,-94.75,81.72,light rain,72,11,4.5,MX
325,Kasempa,-13.4584,25.8338,73.92,broken clouds,52,83,1.59,ZM
326,Kamenka,51.3223,42.7678,32.4,overcast clouds,81,91,11.95,RU
327,Barrow,71.2906,-156.7887,-2.18,scattered clouds,78,40,10.36,US
328,Porto Santo,33.072,-16.3415,73.78,few clouds,73,20,8.05,PT
329,Raga,8.4596,25.678,82.87,broken clouds,47,73,4.65,SS
330,Neryungri,56.6709,124.6491,19.18,snow,95,100,11.07,RU
331,Piombino,42.9348,10.5221,70.57,broken clouds,76,64,1.01,IT
332,Dalvik,65.9702,-18.5286,40.93,broken clouds,85,73,1.83,IS
333,Poum,-20.2333,164.0167,77.23,scattered clouds,76,25,9.64,NC
334,Boralday,43.3578,76.8594,40.86,mist,93,40,4.47,KZ
335,Guerrero Negro,27.9769,-114.0611,70.38,clear sky,59,1,0.74,MX
336,Diamantino,-14.4086,-56.4461,86.38,overcast clouds,55,93,7.61,BR
337,Tucurui,-3.7661,-49.6725,96.89,broken clouds,37,64,2.53,BR
338,Rawson,-43.3002,-65.1023,61.14,clear sky,26,0,5.28,AR
339,Ouallam,14.3188,2.0866,91.38,clear sky,12,0,10.11,NE
340,Ambilobe,-13.2,49.05,77.72,overcast clouds,63,94,5.97,MG
341,Kovernino,57.1253,43.8142,34.27,snow,97,100,10.92,RU
342,Kidal,18.4411,1.4078,84.74,overcast clouds,11,100,13.18,ML
343,Winnemucca,40.973,-117.7357,37.45,clear sky,48,0,3.44,US
344,Shelburne,44.0787,-80.2041,52.23,moderate rain,93,99,7.09,CA
345,Welkom,-27.9864,26.7066,80.35,broken clouds,23,83,6.58,ZA
346,Iqaluit,63.7506,-68.5145,17.33,light snow,72,75,21.85,CA
347,Calabozo,8.9242,-67.4293,85.24,overcast clouds,65,89,8.72,VE
348,Broome,42.2506,-75.833,60.19,broken clouds,75,75,7.0,US
349,Rio Verde De Mato Grosso,-18.9181,-54.8442,84.31,light rain,63,49,13.06,BR
